DOCULECT	LAT	LON	CLS
BELARUSIAN	54.0000	28.0000	Indo-European,Slavic,East
BOSNIAN	43.0000	18.0000	Indo-European,Slavic,South,Western
BULGARIAN	42.5000	25.0000	Indo-European,Slavic,South,Eastern
CROATIAN	45.8200	15.9800	Indo-European,Slavic,South,Western
CZECH	50.0000	15.0000	Indo-European,Slavic,West,Czech-Slovak
KASHUBIAN	54.0000	18.0000	Indo-European,Slavic,West,Lechitic
LOWER_SORBIAN	51.7500	14.3340	Indo-European,Slavic,West,Sorbian
LOWER_SORBIAN_2	51.7500	14.3300	Indo-European,Slavic,West,Sorbian
MACEDONIAN	41.6700	21.7500	Indo-European,Slavic,South,Eastern
NINILCHIK_RUSSIAN	59.9900	-151.5400	Indo-European,Slavic,East
POLISH	52.0000	20.0000	Indo-European,Slavic,West,Lechitic
RUSSIAN	56.0000	38.0000	Indo-European,Slavic,East
SERBOCROATIAN	44.0000	19.0000	Indo-European,Slavic,South,Western
SLOVAK	49.0000	20.0000	Indo-European,Slavic,West,Czech-Slovak
SLOVENIAN	46.0000	15.0000	Indo-European,Slavic,South,Western
UKRAINIAN	49.0000	33.0000	Indo-European,Slavic,East
UPPER_SORBIAN	51.8300	14.5000	Indo-European,Slavic,West,Sorbian
AFRIKAANS	-31.0000	22.0000	Indo-European,Germanic,West,LowSaxon-LowFranconian,LowFranconian
ALSATIAN	48.5000	7.5000	Indo-European,Germanic,West,HighGerman,German,UpperGerman,Alemannic
BERNESE_GERMAN	47.0000	7.4200	Indo-European,Germanic,West,HighGerman,German,UpperGerman,Alemannic
BRABANTIC	50.7500	4.5000	Indo-European,Germanic,West,LowSaxon-LowFranconian,LowFranconian
CIMBRIAN	45.9200	11.3200	Indo-European,Germanic,West,HighGerman,German,UpperGerman,Bavarian-Austrian
DANISH	56.0000	10.0000	Indo-European,Germanic,North,EastScandinavian,Danish-Swedish,Danish-Riksmal,Danish
DUTCH	52.5000	6.0000	Indo-European,Germanic,West,LowSaxon-LowFranconian,LowFranconian
EASTERN_FRISIAN	53.5800	7.5000	Indo-European,Germanic,West,LowSaxon-LowFranconian
ENGLISH	52.0000	0.0000	Indo-European,Germanic,West,English
FAROESE	62.0000	-7.0000	Indo-European,Germanic,North,WestScandinavian
FRANS_VLAAMS	51.0400	2.3800	Indo-European,Germanic,West,LowSaxon-LowFranconian,LowFranconian
FRISIAN_WESTERN	53.0000	6.0000	Indo-European,Germanic,West,Frisian
GJESTAL_NORWEGIAN	61.0000	8.0500	Indo-European,Germanic,North,EastScandinavian,Danish-Swedish,Danish-Bokmal
ICELANDIC	65.0000	-17.0000	Indo-European,Germanic,North,WestScandinavian
JAMTLANDIC	63.0000	14.6700	Indo-European,Germanic,North,EastScandinavian,Danish-Swedish,Swedish
LIMBURGISH	51.0000	5.5000	Indo-European,Germanic,West,HighGerman,German,MiddleGerman,WestMiddleGerman,RhenischFranconian
LUXEMBOURGISH	49.8300	6.1700	Indo-European,Germanic,West,HighGerman,German,MiddleGerman,WestMiddleGerman,MoselleFranconian
NORTH_FRISIAN_AMRUM	54.6500	8.3500	Indo-European,Germanic,West,Frisian
NORTHERN_LOW_SAXON	53.1000	8.7800	Indo-European,Germanic,West,LowSaxon-LowFranconian,LowSaxon
NORWEGIAN_BOKMAAL	61.0000	8.0200	Indo-European,Germanic,North,EastScandinavian,Danish-Swedish,Danish-Bokmal
NORWEGIAN_NYNORSK_TOTEN	59.2700	11.1500	Indo-European,Germanic,North,EastScandinavian,Danish-Swedish,Danish-Bokmal
NORWEGIAN_RIKSMAL	61.0000	8.0100	Indo-European,Germanic,North,EastScandinavian,Danish-Swedish,Danish-Bokmal
PLAUTDIETSCH	53.0000	10.0000	Indo-European,Germanic,West,LowSaxon-LowFranconian,LowSaxon
SANDNES_NORWEGIAN	61.0000	8.0300	Indo-European,Germanic,North,EastScandinavian,Danish-Swedish,Danish-Bokmal
SAXON_UPPER	51.3300	12.4800	Indo-European,Germanic,West,HighGerman,German,MiddleGerman,EastMiddleGerman
SCOTS	55.8600	-4.2600	Indo-European,Germanic,West,English
STANDARD_GERMAN	52.0000	10.0000	Indo-European,Germanic,West,HighGerman,German,MiddleGerman,EastMiddleGerman
SWABIAN	48.9700	9.2800	Indo-European,Germanic,West,HighGerman,German,UpperGerman,Alemannic
SWEDISH	60.0000	15.0000	Indo-European,Germanic,North,EastScandinavian,Danish-Swedish,Swedish
WESTVLAAMS	51.2200	3.2300	Indo-European,Germanic,West,LowSaxon-LowFranconian,LowFranconian
YIDDISH_EASTERN	52.0000	23.0000	Indo-European,Germanic,West,HighGerman,Yiddish
YIDDISH_WESTERN	51.0000	10.0000	Indo-European,Germanic,West,HighGerman,Yiddish
ZEEUWS	51.5000	3.7500	Indo-European,Germanic,West,LowSaxon-LowFranconian,LowFranconian
