DOCULECT	LAT	LON	CLS
AGRA_GUJARI	27.1800	78.0000	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Rajasthani,Unclassified
ASHRET_PHALURA	35.4400	71.7500	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
ASSAMESE	26.0000	93.0000	Indo-European,Indo-Iranian,Indo-Aryan,Easternzone,Bengali-Assamese
ASTOR_SHINA	36.0000	74.0000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
ATTOCK	33.8800	72.0800	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Lahnda
ATTOCK_CITY_HINDKO	33.8700	72.2500	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Lahnda
BAGROT_SHINA	36.0000	74.0000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
BALAKOT_HINDKO	34.5500	73.3500	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Lahnda
BANATISKI_GURBET_ROMANI	45.4000	20.1800	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Romani,Vlax
BENGALI	24.0000	90.0000	Indo-European,Indo-Iranian,Indo-Aryan,Easternzone,Bengali-Assamese
BHADRAWAHI	33.1500	75.5500	Indo-European,Indo-Iranian,Indo-Aryan,Northernzone,WesternPahari
BHATTIYALI	32.5500	76.1200	Indo-European,Indo-Iranian,Indo-Aryan,Northernzone,WesternPahari
BHOIPURI	26.0000	84.0000	Indo-European,Indo-Iranian,Indo-Aryan,Easternzone,Bihari
BHOJPURI	26.0000	84.0000	Indo-European,Indo-Iranian,Indo-Aryan,Easternzone,Bihari
BIORI_PHALURA	35.4700	71.8800	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
BROK-SKAD	35.3300	76.5000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
BROKSKAT	35.3300	76.5000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
BUGURDZI_ROMANI	42.6700	21.1700	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Romani,Balkan
