DOCULECT	LAT	LON	CLS
ARAGONESE	42.1700	-0.1700	Indo-European,Italic,Romance,Italo-Western,Western,Pyrenean-Mozarabic,Pyrenean
ARPITAN	45.7700	4.8300	Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Gallo-Romance,Gallo-Rhaetian,O\"il,Southeastern
ASTURIAN	43.2500	-6.0000	Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,WestIberian,Asturo-Leonese
BALEAR_CATALAN	39.5700	2.6500	Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,EastIberian
CATALAN	41.7500	2.0000	Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,EastIberian
CATALAN_2	41.3800	2.1800	Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,EastIberian
CORSICAN	42.0000	9.0000	Indo-European,Italic,Romance,Southern,Corsican
FRENCH	48.0000	2.0000	Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Gallo-Romance,Gallo-Rhaetian,O\"il,French
FRIULIAN	46.1700	12.9000	Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Gallo-Romance,Gallo-Rhaetian,Rhaetian
GALICIAN	43.0000	-8.0000	Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,WestIberian,Portuguese-Galician
GASCON	43.3000	0.1000	Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,Oc
ITALIAN	43.0000	12.0000	Indo-European,Italic,Romance,Italo-Western,Italo-Dalmatian
JUDEO_ESPAGNOL	40.0000	33.0000	Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,WestIberian,Castilian
LANGUEDOCIEN	45.7000	3.3300	Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,Oc
NONES	46.3700	11.0300	Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Gallo-Romance,Gallo-Rhaetian,Rhaetian
OCCITAN_ARANESE	42.7200	0.8400	Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,Oc
PORTUGUESE	39.0000	-8.0000	Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,WestIberian,Portuguese-Galician
ROMANIAN	46.0000	25.0000	Indo-European,Italic,Romance,Eastern
ROMANIAN_2	46.0000	25.0000	Indo-European,Italic,Romance,Eastern
ROMANSH_SURSILVAN	46.6700	8.8300	Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Gallo-Romance,Gallo-Rhaetian,Rhaetian
SARDINIAN	40.0000	9.0000	Indo-European,Italic,Romance,Southern,Sardinian
SICILIAN_UnnamedInSource	37.5000	14.0000	Indo-European,Italic,Romance,Italo-Western,Italo-Dalmatian
SPANISH	40.0000	-4.0000	Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,WestIberian,Castilian
VALENCIAN	39.4700	-0.3800	Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,EastIberian
VLACH	39.6700	21.3300	Indo-European,Italic,Romance,Eastern
