DOCULECT	LAT	LON	CLS
BELARUSIAN	54.0000	28.0000	Indo-European,Slavic,East
BOSNIAN	43.0000	18.0000	Indo-European,Slavic,South,Western
BULGARIAN	42.5000	25.0000	Indo-European,Slavic,South,Eastern
CROATIAN	45.8200	15.9800	Indo-European,Slavic,South,Western
CZECH	50.0000	15.0000	Indo-European,Slavic,West,Czech-Slovak
KASHUBIAN	54.0000	18.0000	Indo-European,Slavic,West,Lechitic
LOWER_SORBIAN	51.7500	14.3300	Indo-European,Slavic,West,Sorbian
LOWER_SORBIAN_2	51.7500	14.3300	Indo-European,Slavic,West,Sorbian
MACEDONIAN	41.6700	21.7500	Indo-European,Slavic,South,Eastern
NINILCHIK_RUSSIAN	59.9900	-151.5400	Indo-European,Slavic,East
POLISH	52.0000	20.0000	Indo-European,Slavic,West,Lechitic
RUSSIAN	56.0000	38.0000	Indo-European,Slavic,East
SERBOCROATIAN	44.0000	19.0000	Indo-European,Slavic,South,Western
SLOVAK	49.0000	20.0000	Indo-European,Slavic,West,Czech-Slovak
SLOVENIAN	46.0000	15.0000	Indo-European,Slavic,South,Western
UKRAINIAN	49.0000	33.0000	Indo-European,Slavic,East
UPPER_SORBIAN	51.8300	14.5000	Indo-European,Slavic,West,Sorbian
