ISO	NAME	LAT	LON	ETHNOLOGUE	GLOTTOLOG
gwj	GWI	-22.67	21.75	Khoisan,SouthernAfrica,Central,Tshu-Khwe,Southwest	Khoe-Kwadi,Khoe,Non-Khoekhoe,West-Kxoe,Naro-Ana,Ana
gnk	GXANA	-22.17	23.33	Khoisan,SouthernAfrica,Central,Tshu-Khwe,Northwest	Khoe-Kwadi,Khoe,Non-Khoekhoe,West-Kxoe,Naro-Ana,Ana
naq	KHOEKHOEGOWAB	-25.50	18.00	Khoisan,SouthernAfrica,Central,Nama	Khoe-Kwadi,Khoe,Khoekhoe
xuu	KHWE	-17.50	22.50	Khoisan,SouthernAfrica,Central,Tshu-Khwe,Northwest	Khoe-Kwadi,Khoe,Non-Khoekhoe,West-Kxoe,Kxoe-Ani
kqz	KORANA	-29.50	20.50	Khoisan,SouthernAfrica,Central,Nama	Khoe-Kwadi,Khoe,Khoekhoe
kwz	KWADI	-16.27	12.30	Khoisan,SouthernAfrica,Central,Kwadi	Khoe-Kwadi
hio	MASARWA_TATI	-22.50	26.00	Khoisan,SouthernAfrica,Central,Tshu-Khwe,Northeast	Khoe-Kwadi,Khoe,Non-Khoekhoe,Ost-Kxoe,Tshwa
nhr	NARO	-22.50	20.50	Khoisan,SouthernAfrica,Central,Tshu-Khwe,Southwest	Khoe-Kwadi,Khoe,Non-Khoekhoe,West-Kxoe,Naro-Ana
ho0	HOAN	-23.92	24.95	Khoisan,SouthernAfrica,Northern	Kxa
ktz	JUHOAN	-19.00	21.00	Khoisan,SouthernAfrica,Northern	Kxa,Ju-Kung
aue	KAUEN	-21.33	21.75	Khoisan,SouthernAfrica,Northern	Kxa,Ju-Kung
knw	KUNG	-19.67	18.00	Khoisan,SouthernAfrica,Northern	Kxa,Ju-Kung
oun	O_KUNG	-17.00	18.75	Khoisan,SouthernAfrica,Northern	Kxa,Ju-Kung
sad	SANDAWE	-5.00	35.00	Khoisan,Sandawe	Sandawe
nmn	AUNI	-24.00	21.50	Khoisan,SouthernAfrica,Southern,Hua	Tuu,Hua,Taa
xeg	BATWA	-29.00	26.00	Khoisan,SouthernAfrica,Southern,!Kwi	Tuu,!Kwi
xam	KAM_KA_KE	-31.00	21.00	Khoisan,SouthernAfrica,Southern,!Kwi	Tuu,!Kwi
ngh	NG_KE	-26.00	21.00	Khoisan,SouthernAfrica,Southern,!Kwi	Tuu,!Kwi
hts	HADZA	-3.75	35.17	Khoisan,Hatsa	Hadza
awo	AWAK	9.87	11.33	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Waja-Jen,Waja,Awak	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Gur,CentralGur,Waja-Jen,Tula-Waja,Tulaic,Awak-Kamo
bcn	BALI_NIGERIA	8.82	11.30	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Leko-Nimbari,Mumuye-Yandang,Yandang	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Adamawa-Ubangi,Adamawa,SambaDuru-MumuyeYendang,Mumuye-Yandang,Yandang,Bali-Kpasam
bes	BESME	9.58	16.08	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Mbum-Day,Kim	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Adamawa-Ubangi,Adamawa,Mbum-Day,Kim-Besme-Goundo
glc	BON_GULA	10.42	19.50	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Mbum-Day,Bua	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Adamawa-Ubangi,Adamawa,Mbum-Day,AdamawaBua
bub	BUA	10.00	18.00	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Mbum-Day,Bua	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Adamawa-Ubangi,Adamawa,Mbum-Day,AdamawaBua
bys	BURAK	9.50	11.08	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Waja-Jen,Jen	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Gur,CentralGur,Waja-Jen,Bikwin-Jen,Bikwin,Burak-Loo
dbd	DADIYA	9.58	11.33	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Waja-Jen,Waja,Dadiya	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Gur,CentralGur,Waja-Jen,Tula-Waja,Tulaic,NuclearTulaic
dmm	DAMA	8.67	14.33	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Mbum-Day,Mbum,Northern,Dama-Galke	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Adamawa-Ubangi,Adamawa,Mbum-Day,Mbumic,NorthernMbum,Dama-Galke
dai	DAY	8.75	17.83	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Mbum-Day,Day	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Adamawa-Ubangi,Adamawa,Mbum-Day
dow	DOOHWAAYAAYO	8.67	13.08	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Leko-Nimbari,Duru,Voko-Dowayo,Vere-Dowayo,Dowayo	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Adamawa-Ubangi,Adamawa,SambaDuru-MumuyeYendang,SambaDuru,Voko-Dowayo,Vere-Dowayo
fal	FALI	9.33	13.50	Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Fali	Atlantic-Congo,Volta-Congo,UnclassifiedVolta-Congo,AdamawaFali
